Symbol,Purchase Price
UL,57.77
BTC-USD,44833.0
PG,135.8
SONY,60.14
MSFT,241.44
SHLS,32.0
SHLS,30.87
AIR.PA,84.6
AAPL,121.87
AAPL,118.84
BSN.F,54.3
PM,78.97
PM,89.34
CSCO,40.33
XPEV,22.61
INTC,48.72
INTC,45.88
MONET.PR,54.1
VOW.DE,148.0
KO,45.63
KO,45.29
KO,47.76
CVS,58.48
CVS,74.96
CVS,84.0
DIS,100.74
BA,147.95
SAVE,11.85
SAVE,9.97
T,29.67
PFE,31.83
BAC,22.08
BAC,25.27
BAC,29.94
BAC,38.6
AXP,79.84
